appid,name,developer,categories,genres,steamspy_tags
10,Counter-Strike,Valve,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
20,Team Fortress Classic,Valve,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
30,Day of Defeat,Valve,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer
40,Deathmatch Classic,Valve,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
50,Half-Life: Opposing Force,Gearbox Software,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi
60,Ricochet,Valve,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
70,Half-Life,Valve,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action
80,Counter-Strike: Condition Zero,Valve,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
130,Half-Life: Blue Shift,Gearbox Software,Single-player,Action,FPS;Action;Sci-fi
220,Half-Life 2,Valve,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi
240,Counter-Strike: Source,Valve,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer
280,Half-Life: Source,Valve,Single-player,Action,FPS;Action;Sci-fi
300,Day of Defeat: Source,Valve,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,FPS;World War II;Multiplayer
320,Half-Life 2: Deathmatch,Valve,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action,Action;FPS;Multiplayer
340,Half-Life 2: Lost Coast,Valve,Single-player;Commentary available,Action,FPS;Action;Singleplayer
360,Half-Life Deathmatch: Source,Valve,Multi-player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer
380,Half-Life 2: Episode One,Valve,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi
400,Portal,Valve,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action,Puzzle;First-Person;Singleplayer
420,Half-Life 2: Episode Two,Valve,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi
440,Team Fortress 2,Valve,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Action;Free to Play,Free to Play;Multiplayer;FPS
500,Left 4 Dead,Valve,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS
550,Left 4 Dead 2,Valve,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Action,Zombies;Co-op;FPS
570,Dota 2,Valve,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy
620,Portal 2,Valve,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Action;Adventure,Puzzle;Co-op;First-Person
630,Alien Swarm,Valve,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor,Action,Free to Play;Co-op;Action
730,Counter-Strike: Global Offensive,Valve;Hidden Path Entertainment,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Free to Play,FPS;Multiplayer;Shooter
1002,Rag Doll Kung Fu,Mark Healey,Single-player;Multi-player,Indie,Indie;Fighting;Multiplayer
1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,Multi-player;Steam Achievements;Valve Anti-Cheat enabled,Action,World War II;Action;FPS
1250,Killing Floor,Tripwire Interactive,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,Action,FPS;Zombies;Co-op
1300,SiN Episodes: Emergence,Ritual Entertainment,Single-player;Stats,Action,Action;FPS;Cyberpunk
1500,Darwinia,Introversion Software,Single-player,Indie;Strategy,Strategy;Indie;RTS
1510,Uplink,Introversion Software,Single-player,Indie;Strategy,Hacking;Indie;Strategy
1520,DEFCON,Introversion Software,Single-player;Multi-player,Indie;Strategy,Strategy;Indie;Multiplayer
1530,Multiwinia,Introversion Software,Single-player;Multi-player;Steam Achievements,Indie,Indie;RTS;Strategy
1600,Dangerous Waters,Sonalysts,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval
1610,Space Empires IV Deluxe,Malfador Machinations,Single-player;Multi-player,Strategy,Strategy;4X;Sci-fi
1630,Disciples II: Rise of the Elves ,Strategy First,Single-player;Multi-player;Co-op,Strategy,Strategy;Turn-Based Strategy;Fantasy
1640,Disciples II: Gallean's Return,Strategy First,Single-player;Multi-player;Co-op,Strategy,Turn-Based Strategy;Strategy;Classic
1670,Iron Warriors: T - 72 Tank Command ,Strategy First,Single-player;Multi-player,Strategy,Simulation;Strategy;Tanks
1690,Space Empires V,Malfador Machinations,Single-player;Multi-player,Strategy,Strategy;4X;Space
1700,Arx Fatalis,Arkane Studios,Single-player,RPG,RPG;First-Person;Classic
1840,Source Filmmaker,Valve,Steam Workshop,Animation & Modeling;Video Production,Animation & Modeling;Video Production;Free to Play
1900,Earth 2160,Reality Pump Studios,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Strategy,Strategy;RTS;Sci-fi
1930,Two Worlds Epic Edition,Reality Pump Studios,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG,RPG;Open World;Fantasy
2100,Dark Messiah of Might & Magic,Arkane Studios,Single-player;Multi-player;Valve Anti-Cheat enabled,Action;RPG,RPG;Action;First-Person
2200,Quake III Arena,id Software,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Classic
2210,Quake IV,RavenSoft / id Software,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Shooter
2270,Wolfenstein 3D,id Software,Single-player;Steam Cloud,Action,FPS;Classic;Action
2280,Ultimate Doom,id Software,Single-player;Steam Cloud,Action,Classic;FPS;Action
2290,Final DOOM,id Software,Single-player;Steam Cloud,Action,FPS;Action;Classic
2300,DOOM II,id Software,Single-player;Multi-player;Steam Cloud,Action,Classic;FPS;Action
2310,QUAKE,id Software,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Classic;Action
2320,QUAKE II,id Software,Single-player;Multi-player;Co-op;Steam Cloud,Action,FPS;Action;Classic
2330,QUAKE II Mission Pack: The Reckoning,Xatrix Entertainment,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Classic
2340,QUAKE II Mission Pack: Ground Zero,Rogue Entertainment,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Shooter
2350,QUAKE III: Team Arena,id Software,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;Competitive
2360,HeXen: Beyond Heretic,Raven Software,Single-player;Steam Cloud,Action,Action;FPS;Classic
2370,HeXen: Deathkings of the Dark Citadel,Raven Software,Single-player;Steam Cloud,Action,Action;FPS;Classic
2390,Heretic: Shadow of the Serpent Riders,Raven Software,Single-player;Multi-player;Steam Cloud,Action,Classic;Action;FPS
2400,The Ship: Murder Party,Outerlight Ltd.,Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled,Action;Indie;RPG,Multiplayer;Indie;Action
2450,Bloody Good Time,Outerlight Ltd.,Single-player;Multi-player;Steam Achievements,Action,Action;Multiplayer;FPS
2500,Shadowgrounds,Frozenbyte,Single-player;Shared/Split Screen;Steam Trading Cards,Action,Action;Sci-fi;Top-Down Shooter
2520,Gumboy - Crazy Adventures™,"CINEMAX, s.r.o.",Single-player,Casual;Indie,Casual;Indie;Singleplayer
2590,Alpha Prime,Black Element,Single-player,Action,Action;FPS;Sci-fi
2600,Vampire: The Masquerade - Bloodlines,Troika Games,Single-player,Action,RPG;Vampire;Cult Classic
2610,GUN™,Neversoft,Single-player,Action,Western;Action;Open World
2620,Call of Duty®,Infinity Ward,Single-player;Multi-player,Action,FPS;World War II;Action
2630,Call of Duty® 2,Infinity Ward;Aspyr (Mac),Single-player;Multi-player,Action,Action;World War II;FPS
2640,Call of Duty: United Offensive,Gray Matter Studios,Single-player;Multi-player,Action,Action;World War II;FPS
2710,Act of War: Direct Action,Eugen Systems,Single-player;Multi-player,Action,Action;Strategy;RTS
2720,ThreadSpace: Hyperbol,Iocaine Studios,Single-player;Multi-player;Includes level editor,Action;Indie;Strategy,Strategy;Action;Indie
2780,ARMA: Combat Operations,Bohemia Interactive,Single-player;Multi-player;Includes level editor,Action,Action;Simulation;Shooter
2800,X2: The Threat,Egosoft,Single-player;Captions available;Steam Cloud,Strategy,Space;Strategy;Simulation
2810,X3: Reunion,Egosoft,Single-player;Captions available;Steam Cloud,Strategy,Space;Simulation;Strategy
2820,X3: Terran Conflict,Egosoft,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Simulation;Strategy,Space;Simulation;Sci-fi
2840,X: Beyond the Frontier,Egosoft,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Space;Strategy
2850,X: Tension,Egosoft,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Strategy;Space
2870,X Rebirth,Egosoft,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud,Action;Simulation,Space;Simulation;Sci-fi
2900,688(I) Hunter/Killer,Sonalysts,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval
2910,Fleet Command,Sonalysts,Single-player,Strategy,Strategy;Simulation;Naval
2920,Sub Command,Sonalysts,Single-player;Multi-player;Co-op;Includes level editor,Strategy,Strategy;Simulation;Naval
2990,FlatOut 2™,Bugbear Entertainment,Single-player,Racing,Racing;Destruction;Multiplayer
3010,Xpand Rally,Techland,Single-player;Multi-player,Racing,Racing;Multiplayer
3020,Call of Juarez™,Techland,Single-player;Multi-player;Steam Trading Cards,Action,Western;Action;FPS
3050,Xpand Rally Xtreme,Techland,Single-player;Multi-player,Racing,Racing;Offroad;Simulation
3130,Men of War: Red Tide,1C Entertainment,Single-player;Steam Cloud,Strategy,Strategy;World War II;RTS
3170,King's Bounty: Armored Princess,Katauri Interactive,Single-player;Steam Cloud,RPG;Strategy,RPG;Turn-Based Strategy;Strategy
3230,Genesis Rising,Metamorf,Single-player;Multi-player,Strategy,Strategy;Space;Sci-fi
3260,Safecracker: The Ultimate Puzzle Adventure,Kheops Studio,Single-player,Adventure;Casual,Puzzle;Adventure;Casual
3270,Painkiller Overdose,Mindware Studios,Single-player;Multi-player,Action,Action;FPS;Shooter
3330,Zuma Deluxe,"PopCap Games, Inc.",Single-player,Casual,Casual;Match 3;Puzzle
3410,Heavy Weapon Deluxe,"PopCap Games, Inc.",Single-player,Casual,Casual;Arcade;Action
3480,Peggle Deluxe,"PopCap Games, Inc.",Single-player,Casual,Casual;Puzzle;Arcade
3483,Peggle Extreme,"PopCap Games, Inc.",Single-player,Casual,Casual;Puzzle;Free to Play
3490,Venice Deluxe,"Retro64, Inc.",Single-player,Casual,Casual
3500,Mystery P.I.™ - The Lottery Ticket,SpinTop Games,Single-player,Casual,Casual;Hidden Object
3510,Amazing Adventures The Lost Tomb™,SpinTop Games,Single-player,Casual,Casual;Hidden Object;Puzzle
3520,Mystery P.I.™ - The Vegas Heist,SpinTop Games,Single-player,Casual,Casual;Hidden Object
3530,Amazing Adventures Around the World,SpinTop Games,Single-player,Casual,Casual;Hidden Object;Puzzle
3540,Peggle™ Nights,"PopCap Games, Inc.",Single-player,Casual,Casual;Puzzle;Singleplayer
3560,Bejeweled Twist,"PopCap Games, Inc.",Single-player,Strategy;Casual,Casual;Strategy;Match 3
3570,Mystery P.I.™ - The New York Fortune,SpinTop Games,Single-player,Casual,Casual;Hidden Object
3580,The Wizard's Pen™,"PopCap Games, Inc.",Single-player,Casual,Casual;Hidden Object
3590,Plants vs. Zombies GOTY Edition,"PopCap Games, Inc.",Single-player;Steam Achievements,Strategy,Tower Defense;Zombies;Strategy
3600,Escape Rosecliff Island,SpinTop Games,Single-player,Casual,Casual;Hidden Object;Puzzle
3610,Mystery P.I. - Lost in Los Angeles,SpinTop Games,Single-player,Casual,Casual;Hidden Object
3620,Zuma's Revenge!,"PopCap Games, Inc.",Single-player;Steam Achievements;Stats,Action;Casual,Casual;Action;Match 3
3700,Sniper Elite,Rebellion,Single-player;Steam Trading Cards,Action,Action;Sniper;Stealth
3710,Judge Dredd: Dredd vs. Death,Rebellion,Single-player;Multi-player;Co-op,Action,Action;FPS;First-Person
3720,Evil Genius,Elixir Studios,Single-player,Strategy,Base-Building;Strategy;Villain Protagonist
3730,Aliens versus Predator Classic 2000,Rebellion,Single-player;Multi-player,Action,FPS;Action;Classic
3800,Advent Rising,GlyphX Games,Single-player;Steam Trading Cards,Action,Action;Sci-fi;Story Rich
3810,BloodRayne,Terminal Reality,Single-player;Steam Trading Cards,Action,Action;Vampire;Female Protagonist
3820,BloodRayne 2,Terminal Reality,Single-player;Steam Trading Cards,Action,Action;Vampire;Female Protagonist
3830,Psychonauts,Double Fine Productions,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Platformer;Comedy;Adventure
3900,Sid Meier's Civilization® IV,Firaxis Games,Single-player;Multi-player;Includes level editor,Strategy,Strategy;Turn-Based Strategy;Turn-Based
3910,Sid Meier's Civilization® III Complete,Firaxis Games,Single-player;Multi-player;Includes level editor,Strategy,Strategy;Turn-Based Strategy;Turn-Based
3920,Sid Meier's Pirates!,Firaxis Games,Single-player,RPG,Pirates;Open World;RPG
3960,Shattered Union,PopTop,Single-player;Multi-player,Strategy,Strategy;Turn-Based Strategy
3980,CivCity: Rome,FireFly Studios;Firaxis Games,Single-player,Strategy,Strategy;City Builder;Simulation
3990,Civilization IV®: Warlords,Firaxis Games,Single-player,Strategy,Strategy;Turn-Based;4X
4000,Garry's Mod,Facepunch Studios,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Indie;Simulation,Sandbox;Multiplayer;Funny
4100,Poker Superstars II,Funkitron,Single-player,Casual;Strategy;Indie,Card Game
4230,RACE - The WTCC Game,SimBin,Single-player;Multi-player,Racing,Racing;Simulation
4290,RACE: Caterham Expansion,SimBin,Single-player;Multi-player,Racing,Racing;Simulation
4300,RoboBlitz,Naked Sky Entertainment,Single-player;Partial Controller Support;Includes level editor,Action;Indie,Action;Indie;Puzzle
4420,Silverfall,Monte Cristo,Single-player,RPG,RPG;Hack and Slash;Action RPG
4460,City Life 2008,Monte Cristo,Single-player,Simulation;Strategy,Simulation;Strategy;City Builder
4470,Silverfall: Earth Awakening,Monte Cristo,Single-player;Multi-player,RPG,RPG;Hack and Slash;Action RPG
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,Single-player;Multi-player,Action;RPG,Atmospheric;Post-apocalyptic;Open World
4520,Full Spectrum Warrior,Pandemic Studios,Single-player;Multi-player;Co-op,Action;Strategy,Strategy;Action;Tactical
4530,Full Spectrum Warrior: Ten Hammers,Pandemic Studios,Single-player;Multi-player;Co-op,Action;Strategy,Strategy;Action;Tactical
4560,Company of Heroes - Legacy Edition,Relic Entertainment,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud,Violent;Action;Strategy,Strategy;RTS;World War II
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Relic Entertainment,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Warhammer 40K;RTS
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",Relic Entertainment,Single-player;Multi-player;Steam Cloud,Strategy,Strategy;Warhammer 40K;RTS
4700,Total War: MEDIEVAL II – Definitive Edition,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),Single-player;Multi-player;Steam Trading Cards,Strategy,Strategy;Medieval;Historical
4720,Condemned: Criminal Origins,Monolith,Single-player,Action,Horror;Action;Atmospheric
4760,Rome: Total War™ - Collection,CREATIVE ASSEMBLY,Single-player;Multi-player;Steam Trading Cards,Strategy,Strategy;Historical;Rome
4770,Rome: Total War™ - Alexander,The Creative Assembly,Single-player;Multi-player,Strategy,Strategy;RTS;Historical
4780,Medieval II: Total War™ Kingdoms,The Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux),Single-player;Multi-player,Strategy,Strategy;Medieval;Historical
4800,Heroes of Annihilated Empires,GSC Game World,Single-player;Multi-player,Strategy,Strategy;RTS;RPG
4850,Cossacks: Back to War,GSC Game World,Single-player;Multi-player,Strategy,Strategy;RTS;Classic
4870,Cossacks: Art of War,GSC Game World,Single-player,Strategy,Strategy;RTS;Historical
4880,Cossacks: European Wars,GSC Game World,Single-player,Strategy,Strategy;RTS;Historical
4890,Cossacks II: Battle for Europe,GSC Game World,Single-player;Multi-player;Online Multi-Player;Local Multi-Player,Strategy,Strategy;RTS;Historical
4900,Zen of Sudoku,Unknown Worlds Entertainment,Single-player,Casual;Indie,Casual;Indie;Puzzle
4920,Natural Selection 2,Unknown Worlds Entertainment,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,Action;Indie;Strategy,Multiplayer;Strategy;FPS
6000,STAR WARS™ Republic Commando™,LucasArts,Single-player;Multi-player;Local Multi-Player;Steam Cloud,Action,Star Wars;Action;FPS
6010,Indiana Jones® and the Fate of Atlantis™,LucasArts,Single-player;Steam Cloud,Adventure,Adventure;Point & Click;Classic
6020,STAR WARS™ Jedi Knight - Jedi Academy™,Raven Software;Aspyr (Mac),Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,Action,Star Wars;Action;Sci-fi
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,Raven Software;Aspyr (Mac),Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud,Action,Star Wars;Action;Classic
6040,The Dig®,LucasArts,Single-player;Steam Cloud,Adventure,Adventure;Point & Click;Sci-fi
6060,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud,Action,Star Wars;Action;Multiplayer
6080,Thrillville®: Off the Rails™,Frontier,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud,Action;Adventure;Racing;Simulation;Strategy,Simulation;Strategy;Action
6090,Armed and Dangerous®,Planet Moon Studios,Single-player;Steam Cloud,Action,Action;Comedy;Third-Person Shooter
6120,Shank,Klei Entertainment,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action;Indie,Action;Indie;Beat 'em up
6200,Ghost Master®,Sick Puppies,Single-player,Strategy,Strategy;Comedy;Puzzle
6210,Vegas: Make It Big™,Deepred,Single-player,Strategy,Strategy;Simulation;Management
6220,FlatOut,Bugbear Entertainment,Single-player;Multi-player,Racing,Racing;Destruction;Driving
6250,Making History: The Calm & the Storm,Muzzy Lane,Single-player;Multi-player,Action;Strategy,Strategy;Action;Grand Strategy
6270,Ducati World Championship,Artematica Entertainment,Single-player;Multi-player,Racing,Racing;Simulation
6300,Dreamfall: The Longest Journey,Funcom,Single-player,Adventure;RPG,Adventure;Female Protagonist;Story Rich
6310,The Longest Journey,Funcom,Single-player,Action;Adventure;RPG,Adventure;Point & Click;Female Protagonist
6370,Bloodline Champions,Stunlock Studios,Single-player;Multi-player;MMO,Action;Free to Play;Massively Multiplayer,Free to Play;Action;MOBA
6400,Joint Task Force,Most Wanted Entertainment,Single-player;Multi-player;Co-op;Shared/Split Screen,Action;Strategy,Strategy;Action;RTS
6420,Nexus - The Jupiter Incident,Mithis Games;THQ Nordic,Single-player;Multi-player;Includes level editor,Indie;Simulation;Strategy,Strategy;Space;Sci-fi
6510,Lost Planet™: Extreme Condition,"CAPCOM Co., Ltd.",Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled,Action;Adventure,Action;Adventure;Third-Person Shooter
6550,Devil May Cry® 3 Special Edition,"CAPCOM Co., Ltd.",Single-player;Partial Controller Support,Action,Action;Hack and Slash;Great Soundtrack
6800,Commandos: Behind Enemy Lines,Pyro Studios,Single-player;Multi-player;Co-op,Action,Strategy;Stealth;Action
6810,Commandos: Beyond the Call of Duty,Pyro Studios,Single-player;Multi-player;Co-op,Action,Action;Strategy;Tactical
6830,Commandos 2: Men of Courage,Pyro Studios,Single-player;Multi-player;Co-op,Action,Strategy;Tactical;Stealth
6840,Commandos 3: Destination Berlin,Pyro Studios,Single-player;Multi-player;Co-op,Action,Strategy;Action;Tactical
6850,Hitman 2: Silent Assassin,Io-Interactive A/S,Single-player,Action,Stealth;Action;Third Person
6860,Hitman: Blood Money,Io-Interactive A/S,Single-player,Action,Stealth;Action;Third Person
6870,Battlestations: Midway,Eidos Interactive,Single-player,Action,Action;World War II;Naval
6880,Just Cause,Avalanche Studios,Single-player,Action,Action;Open World;Shooter
6900,Hitman: Codename 47,IO Interactive A/S,Single-player,Action,Stealth;Action;Classic
6910,Deus Ex: Game of the Year Edition,Ion Storm,Single-player;Multi-player,Action,Cyberpunk;RPG;Stealth
6920,Deus Ex: Invisible War,Ion Storm,Single-player,Action,Cyberpunk;Action;FPS
6980,Thief: Deadly Shadows,Ion Storm,Single-player,Action,Stealth;Atmospheric;Action
7000,Tomb Raider: Legend,Crystal Dynamics,Single-player;Partial Controller Support,Action;Adventure,Adventure;Action;Female Protagonist
7010,Project: Snowblind,Crystal Dynamics,Single-player;Multi-player,Action,Action;FPS;Cyberpunk
7020,Rogue Trooper,Rebellion,Single-player;Multi-player;Co-op,Action,Action;Third-Person Shooter;Sci-fi
7110,Jade Empire™: Special Edition,BioWare Corporation,Single-player;Partial Controller Support,RPG,RPG;Fantasy;Story Rich
7200,Trackmania United Forever Star Edition,Nadeo,Single-player;Multi-player;Includes level editor,Racing,Racing;Multiplayer;Level Editor
7210,"Runaway, A Road Adventure",Pendulo Studios,Single-player,Adventure,Adventure;Point & Click;Mystery
7220,"Runaway, The Dream of The Turtle",Pendulo Studios,Single-player,Adventure,Adventure;Point & Click;Mystery
7260,Loki,Cyanide Studios,Single-player;Multi-player,RPG,RPG;Hack and Slash;Action
7340,Azada,Big Fish Games,Single-player,Casual;Indie,Casual;Indie;Puzzle
7510,X-Blades,Gaijin Entertainment,Single-player;Steam Trading Cards;Partial Controller Support,Nudity;Violent;Action;Adventure;RPG,Action;Hack and Slash;Female Protagonist
7520,Two Worlds II HD,Reality Pump Studios,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,Nudity;Violent;RPG,RPG;Open World;Fantasy
7530,Two Worlds II Castle Defense,Reality Pump Studios,Single-player;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Tower Defense;Fantasy
7600,Sid Meier's Railroads!,Firaxis Games;Feral Interactive (Mac),Single-player;Multi-player,Strategy,Strategy;Trains;Management
7610,Railroad Tycoon 3,PopTop,Single-player;Multi-player,Strategy,Strategy;Management;Trains
7620,Railroad Tycoon II Platinum,PopTop,Single-player,Strategy,Strategy;Management;Trains
7650,X-COM: Terror From the Deep,"MicroProse Software, Inc",Single-player,Strategy,Strategy;Turn-Based;Sci-fi
7660,X-COM: Apocalypse,"MicroProse Software, Inc",Single-player,Strategy,Strategy;Turn-Based;Tactical
7730,X-COM: Interceptor,"MicroProse Software, Inc",Single-player;Multi-player,Strategy,Strategy;Sci-fi;Space
7760,X-COM: UFO Defense,"MicroProse Software, Inc",Single-player,Strategy,Strategy;Classic;Turn-Based Strategy
7770,X-COM: Enforcer,"MicroProse Software, Inc",Single-player;Multi-player,Strategy,Strategy;Action;Shooter
7830,Men of War™,Best Way,Single-player;Multi-player;Steam Cloud;Includes level editor,Strategy,Strategy;World War II;RTS
7840,Death Track®: Resurrection,Sky Fallen,Single-player;Steam Cloud,Racing,Racing;Action;Shooter
7860,NecroVision,The Farm 51,Single-player;Multi-player;Steam Cloud,Action,Action;FPS;World War I
7940,Call of Duty® 4: Modern Warfare®,Infinity Ward;Aspyr (Mac),Single-player;Multi-player,Action,FPS;Action;Multiplayer
8000,Tomb Raider: Anniversary,Crystal Dynamics;Feral Interactive (Mac),Single-player;Partial Controller Support,Action;Adventure,Action;Adventure;Female Protagonist
8080,Kane and Lynch: Dead Men™,IO Interactive,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support,Action,Action;Third-Person Shooter;Crime
8100,Conflict: Denied Ops,Pivotal Games,Single-player,Action,Action;FPS;Singleplayer
8140,Tomb Raider: Underworld,Crystal Dynamics,Single-player,Action;Adventure,Adventure;Action;Female Protagonist
8170,Battlestations Pacific,Eidos Studio Hungary,Single-player;Multi-player;Partial Controller Support,Action;Strategy,World War II;Strategy;Action
8190,Just Cause 2,Avalanche Studios,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Open World;Action;Sandbox
8310,Bone: Out From Boneville,Telltale Games,Single-player,Adventure,Adventure;Point & Click
8320,Bone: The Great Cow Race,Telltale Games,Single-player,Adventure,Adventure;Point & Click
8330,Telltale Texas Hold ‘Em,Telltale Games,Single-player,Casual,Casual;Card Game
8340,Strong Bad's Cool Game for Attractive People: Season 1,Telltale Games,Single-player,Adventure,Adventure;Point & Click;Comedy
8400,Geometry Wars: Retro Evolved,Bizarre Creations,Single-player;Full controller support,Casual,Arcade;Twin Stick Shooter;Casual
8500,EVE Online,CCP,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards,Action;Free to Play;Massively Multiplayer;RPG;Strategy,Space;Massively Multiplayer;Sci-fi
8600,RACE 07,SimBin,Single-player;Multi-player,Racing,Racing;Simulation;Driving
8790,GTR 2 FIA GT Racing Game,SimBin Studios AB,Single-player;Multi-player,Racing;Simulation;Sports,Racing;Simulation;Sports
8800,Civilization IV: Beyond the Sword,Firaxis Games,Single-player,Strategy,Strategy;Turn-Based Strategy;4X
8870,BioShock Infinite,Irrational Games;Aspyr (Mac);Virtual Programming (Linux),Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,FPS;Story Rich;Action
8880,Freedom Force,Irrational Games,Single-player;Multi-player,RPG;Strategy,RPG;Strategy;Superhero
8890,Freedom Force vs. the Third Reich,Irrational Games,Single-player;Multi-player,RPG;Strategy,RPG;Strategy;Superhero
8930,Sid Meier's Civilization® V,Firaxis Games;Aspyr (Mac);Aspyr (Linux),Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Strategy,Turn-Based Strategy;Strategy;Turn-Based
