appid,name,developer,categories,genres,steamspy_tags
214590,Fairy Bloom Freesia,Edelweiss,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie,Anime;Action;Beat 'em up
214610,Cherry Tree High Comedy Club,773,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Visual Novel;Anime;Indie
214630,Call of Duty: Black Ops - Mac Edition,Aspyr,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Valve Anti-Cheat enabled,Action,Action;Zombies;Multiplayer
214700,Thirty Flights of Loving,Blendo Games,Single-player;Commentary available,Adventure;Casual;Indie,Short;Indie;Adventure
214730,Space Rangers HD: A War Apart,SNK Games;Elemental Games;Katauri Interactive,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;RPG;Simulation;Strategy,Space;RPG;Strategy
214770,Guacamelee! Gold Edition,DrinkBox Studios,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Metroidvania;Platformer;Action
214790,The Basement Collection,Edmund McMillen;Tyler Glaiel,Single-player,Adventure;Indie;Strategy,Indie;Adventure;Strategy
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,Opus,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;RPG,RPG;Action;Casual
214870,Painkiller Hell & Damnation,The Farm 51,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor,Action,Action;FPS;Gore
214910,Air Conflicts: Pacific Carriers,Games Farm;3Division,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Action;Simulation,Action;Simulation;Flight
214950,Total War™: ROME II - Emperor Edition,CREATIVE ASSEMBLY,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,Strategy,Strategy;Turn-Based Strategy;Historical
214970,Intrusion 2,Aleksey Abramenko,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Indie,Action;Indie;Platformer
215080,WAKFU,Ankama Studio,Multi-player;MMO;Steam Achievements;Steam Trading Cards,Adventure;Free to Play;Massively Multiplayer;RPG;Strategy,Free to Play;Massively Multiplayer;Turn-Based Strategy
215160,The Book of Unwritten Tales,KING Art,Single-player,Adventure,Adventure;Point & Click;Fantasy
215280,Secret World Legends,Funcom,Multi-player;Online Multi-Player;MMO;Online Co-op;Steam Trading Cards,Action;Adventure;Free to Play;Massively Multiplayer;RPG,MMORPG;Massively Multiplayer;RPG
215390,Damage Inc. Pacific Squadron WWII,Trickstar Games,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Simulation,Action;Simulation;Flight
215470,Primal Carnage,Lukewarm Media,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Valve Anti-Cheat enabled,Action;Indie,Dinosaurs;Multiplayer;Action
215510,Rocketbirds: Hardboiled Chicken,Ratloop Asia,Single-player;Multi-player;Co-op;Online Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Indie;Platformer;Action
215530,The Incredible Adventures of Van Helsing,NeocoreGames,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Indie;RPG,RPG;Hack and Slash;Action RPG
215550,Zombie Playground™,stealth.gg,Single-player;Online Multi-Player;Online Co-op;Full controller support,Violent;Gore;Action;Adventure;Indie;RPG,Action;Indie;RPG
215630,Demonicon,Noumena Studios,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;RPG,RPG;Action;Adventure
215670,Home,Benjamin Rivers Inc.,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Indie;Adventure;Horror
215690,Zeno Clash 2,ACE Team,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Surreal
215710, Fieldrunners 2,Subatomic Studios LLC,Single-player,Action;Strategy;Casual,Tower Defense;Strategy;Casual
215770,Shad'O,Okugi Studio,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie;Strategy,Indie;Tower Defense;Strategy
